192.168.10.8,Sat Dec 17 09:52:31 2022,1671263551544751575,outbound_node_disconnected: b55c1c118f6d7508e2c1d793b9fbd3a3a141986a3aa707c8452ade457c62c02e91515556a3b39e7a600ac0e9aa35b3eddd91f639ef050f24abbfc896e8075e87
192.168.10.6,Sat Dec 17 09:52:31 2022,1671263551547840857,outbound_node_disconnected: b55c1c118f6d7508e2c1d793b9fbd3a3a141986a3aa707c8452ade457c62c02e91515556a3b39e7a600ac0e9aa35b3eddd91f639ef050f24abbfc896e8075e87
192.168.10.8,Sat Dec 17 09:52:36 2022,1671263556573433496,Stop node and shut down program...
192.168.10.8,Sat Dec 17 09:52:36 2022,1671263556577148737,node is requested to stop!
192.168.10.6,Sat Dec 17 09:52:36 2022,1671263556580206411,Stop node and shut down program...
192.168.10.6,Sat Dec 17 09:52:36 2022,1671263556581151277,node is requested to stop!
192.168.10.6,Sat Dec 17 09:52:36 2022,1671263556592564373,"Message from 192.168.10.8: {'status': 'disconnect', 'state': 2}"
192.168.10.8,Sat Dec 17 09:52:41 2022,1671263561543608208,outbound_node_disconnected: 12ee6da2d503437959e0657a94668a01d70ec5547aba818737c296cf9e233e5fdb7956c4a8dfad6200025727b3ecbce12b1166b3ea3baba7f6b70f08373a7afa
192.168.10.6,Sat Dec 17 09:52:41 2022,1671263561553470185,inbound_node_disconnected: 9576d5e83408bb8dd823e9b9892f110bde93bf1d4d50a0adc9066f772775fea7aa47aeb2fccd2b42ec445e8df9938d6d46a67f94977f3456ff80cf6e4e91c4a4
192.168.10.6,Sat Dec 17 09:55:05 2022,1671263705566095024,game_id when waiting 10
192.168.10.4,Sat Dec 17 09:55:07 2022,1671263707374589973,game_id when waiting 10
192.168.10.6,Sat Dec 17 09:55:08 2022,1671263708612530844,connecting started
192.168.10.6,Sat Dec 17 09:55:08 2022,1671263708614885220,game_id when checking connection 10
192.168.10.6,Sat Dec 17 09:55:08 2022,1671263708618340589,inbound_node_connected: c577d3bd089178fc30bab972294cdcf123e5313947b3224c57f91eda96c378f869ae7771a6d8d7f811616a5dcb2a1bd02be80ae0a3342ad12c9b6a3887cc2ea6
